"","duration","credit_amount","installment_rate","present_residence","age","existing_credits","dependents","has_telephone","is_foreign_worker","has_problems_credit_history","purpose_domestic","purpose_retraining","purpose_radio_television","purpose_new_car","purpose_used_car","purpose_business","purpose_repairs","purpose_education","purpose_furniture_equipment","other_debtors_guarantor","other_debtors_co_applicant","other_installment_plans_bank","other_installment_plans_stores","housing_rent","housing_own","job_skilled_employee","job_unskilled_resident","job_highly_qualified_employee","savings","present_employment","property","checking_account_status","is_woman","is_single"
"331",24,6615,2,4,75,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
"914",11,2142,1,2,28,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,7,3,0,0,0
"537",6,1374,4,3,75,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0
"223",12,707,4,2,30,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,3,0,0,1
"682",12,2279,4,4,37,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1
"775",12,1480,2,4,66,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,3,0,1
"278",12,1262,2,4,49,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7,2,1,0,0
"458",12,3386,3,4,35,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,0,1,0,1
"938",6,2063,4,3,30,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,2,0,0
"94",24,3617,4,4,20,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,7,0,3,0,1
"821",12,1101,3,2,27,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,3,0,0,0
"394",6,1957,1,4,31,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5,1,1,1,0
"203",27,5117,3,4,26,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5,1,0,0,1
"143",27,3416,3,2,27,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,1,0,1
"54",18,3378,2,1,31,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,1
"777",36,3535,4,4,37,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5,1,0,0,1
"194",6,2108,2,2,29,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,5,3,0,0,0
"134",18,1984,4,4,47,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,1
"987",42,6289,2,1,33,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,3,0,0
"919",24,2359,1,1,33,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,1,0,0
"456",24,2679,4,1,29,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0
"909",15,3594,1,2,46,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,0,1,0
"957",30,3656,4,4,49,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,7,2,3,0,1
"607",24,4526,3,2,74,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,3,0,0,1
"913",30,2991,2,4,25,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,1,2,1,0
"34",12,1264,4,4,57,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,1
"375",60,14782,3,4,60,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,7,0,2,1,0
"856",24,1474,4,3,33,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,3,0,0,0
"785",20,6468,1,4,60,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,2,0,0
"918",6,14896,1,4,68,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,7,0,1,0,1
"654",36,8086,2,4,42,4,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,7,1,2,0,1
"177",12,2577,2,1,42,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,1,0,0
"813",36,9629,4,4,24,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5,1,1,0,1
"47",36,2299,4,4,39,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,7,1,0,0,1
"144",18,2462,2,2,22,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,1,0,1
"850",12,709,4,4,57,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,7,3,1,0,1
"406",24,2039,1,1,22,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,2,0,0
"435",9,2136,3,2,25,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,3,1,0,1
"616",48,12204,2,2,48,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,1,2,0,1
"322",24,1938,4,3,32,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,1,0,0
"956",24,1231,4,4,57,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,7,2,1,1,0
"197",6,1382,1,1,28,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,1,0
"45",48,6143,4,4,58,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,7,0,1,1,0
"110",14,1410,1,2,35,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,7,3,2,0,0
"398",36,2348,3,2,46,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,2,1,0,0
"783",12,1410,2,2,31,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,2,3,2,0,1
"765",24,2463,4,3,27,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,5,2,0,0,0
"756",24,1285,4,4,32,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,1,1,0
"932",9,1670,4,2,22,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,1,0
"966",30,1715,4,1,26,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,2,1,0
"417",12,2579,4,1,33,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,3,1,0,1
"35",12,1474,4,1,33,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,2,3,1,0
"803",20,4272,1,4,24,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,7,2,1,1,0
"866",15,2221,2,4,20,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,2,1,0,1,0
"146",48,3566,4,2,30,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,5,1,2,0,1
"522",18,3190,2,2,24,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,3,1,1,0
"262",24,1603,4,4,55,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,7,1,1,1,0
"23",10,2241,1,3,48,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,3,1,0,1
"82",15,1213,4,3,47,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,7,2,0,0,1
"366",12,1542,2,4,36,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5,1,0,0,1
"535",24,3105,4,2,25,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
"370",18,3001,2,4,40,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,5,3,2,1,0
"807",6,590,3,3,26,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,3,2,0,0
"822",12,3016,3,1,24,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,3,0,0
"634",9,1980,2,2,19,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0
"122",24,3868,4,2,41,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,7,1,0,1,0
"656",14,3973,1,4,22,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
"876",11,1322,4,4,40,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,2,1,2,1,0
"686",60,6527,4,4,34,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1
"727",15,1316,2,2,47,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,2,2,0,0,0
"335",24,4110,3,4,23,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,7,0,1,0,1
"920",24,3345,4,2,39,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,7,2,1,0,1
"255",9,2030,2,1,24,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,1,2,0,1
"768",10,2901,1,4,31,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,0,1,0
"224",24,2978,4,4,32,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3,0,0,1
"655",24,2346,4,3,35,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5,1,0,0,1
"460",18,4594,3,2,32,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1
"433",6,1872,4,4,36,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
"167",18,1131,4,2,33,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0
"95",12,1318,4,4,54,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,7,3,2,0,1
"283",18,1445,4,4,49,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5,1,3,0,1
"742",10,1048,4,4,23,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,2,3,2,0,1
"253",30,2150,4,2,24,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,2,0,2,1,0
"601",7,2329,1,1,45,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,3,2,1,0
"219",24,3021,2,2,24,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,3,1,0,0
"515",24,2255,4,1,54,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,1
"650",12,684,4,4,40,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,1,1,0,1
"953",24,4113,3,4,28,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,3,1,1,2,1,0
"29",7,2415,3,2,34,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,2,3,2,0,1
"474",6,1238,4,4,36,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1
"999",45,1845,4,4,23,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,1
"487",12,3077,2,4,52,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,1
"261",12,1657,2,2,27,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,3,1,0,1
"293",24,6419,2,4,44,2,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,1,1,0
"940",24,6842,2,4,46,2,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,0,0,1
"459",6,343,4,1,27,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,3,1,1,0
"611",12,741,4,3,22,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,2,1,1,0
"55",36,2225,4,4,57,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,7,0,2,0,1
"689",9,2753,3,4,35,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,7,1,0,0,1
"590",12,2246,3,3,60,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,7,2,1,0,1
"697",12,1103,4,3,29,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,5,3,2,0,1
"117",42,7174,4,3,30,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,1,1,1,0
"302",36,3804,4,1,42,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,2,1,0
"415",24,1381,4,2,35,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,1,1,0
"340",10,1521,4,2,31,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,2,0,0
"280",24,1901,4,4,29,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,1,0,0,1
"595",24,1358,4,3,40,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,7,1,1,0,1
"137",27,8613,2,2,27,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,4,2,1,0,0,1
"250",18,433,3,4,22,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,3,0,1,0
"466",24,2924,3,4,63,1,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,2,0,1,0,1
"993",18,1936,2,4,23,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,1,1,0,0
"553",48,6999,1,1,34,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,5,3,1,0,0
"336",6,3384,1,4,44,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,3,1,0,0
"230",24,3149,4,1,22,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1
"6",36,9055,2,4,35,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1
"847",18,6761,2,4,68,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,1
"926",12,697,4,2,46,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1
"308",12,727,4,3,33,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,1,0,0
"906",12,1107,2,2,20,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,3,1,0,1
"157",9,1288,3,4,48,2,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,2,7,3,1,0,1
"658",48,10222,4,3,37,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,5,1,0,0,1
"747",15,2511,1,4,23,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0
"793",6,1221,1,2,27,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0
"483",30,3622,4,4,57,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,7,2,1,1,0
"561",24,2964,4,4,49,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,0,1,0,1
"596",6,931,1,1,32,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,1,2,2,1,0
"769",12,3617,1,4,28,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,7,1,2,0,1
"779",36,5711,4,2,38,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4,7,1,0,0,1
"818",6,1554,1,2,24,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,5,1,0,1,0
"185",18,884,4,4,36,1,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,7,1,2,0,1
"788",48,2751,4,3,38,2,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,1,0,0,1
"688",36,2862,4,3,30,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,7,0,2,0,1
"994",36,3959,4,3,30,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,0,1
"990",24,1743,4,2,48,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,7,2,2,0,1
"52",27,5965,1,2,30,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,7,1,2,0,1
"755",12,1555,4,4,55,2,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,7,0,0,0,1
"471",24,3092,3,2,22,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,1,2,0,0
"787",22,2675,3,4,40,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,7,1,0,0,1
"584",36,2384,4,1,33,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,2,0,1
"198",12,951,4,4,27,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,1,1,2,1,0
"792",24,6313,3,4,41,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,1,0,0,1
"44",30,6187,1,4,24,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,5,1,1,0,0
"264",12,2748,2,4,57,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,7,0,0,1,0
"795",24,3062,4,3,32,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,7,0,0,0,1
"365",18,2473,4,1,25,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1
"542",24,2032,4,4,60,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,0,0,0,1
"131",48,8487,1,2,24,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,1,2,1,0
"300",21,2745,3,2,32,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,5,1,2,0,1
"943",24,929,4,2,31,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,5,1,0,0,1
"413",12,2292,4,2,42,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1
"129",12,1860,4,2,34,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,2,0,1
"970",11,3939,1,2,40,2,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,3,1,0,1
"905",24,1278,4,1,36,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,7,3,0,0,1
"292",36,9398,1,4,28,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,2,0,0
"615",18,1808,4,1,22,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5,3,0,1,0
"614",24,3632,1,4,22,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,2,1,1,1,0
"799",24,717,4,4,54,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,1,0,0,0
"568",24,2578,2,2,34,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,7,1,0,0,1
"630",9,3832,1,4,64,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7,3,0,0,1
"452",6,518,3,1,29,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,3,0,1,0
"661",12,1297,3,4,23,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,3,3,0,0
